date,cash,transaction_cost,market_value,total_value,position_pnl,trading_pnl,daily_pnl,margin
2010-01-04,9297750.573,998.472,9982220.0,9996505.973,0.0,-2495.555,-3494.027,698755.4
2010-01-05,9318024.573,0.0,10004020.0,10018305.973,21800.0,0.0,21800.0,700281.4
2010-01-06,9384928.773,0.0,10075960.0,10090245.973,71940.0,0.0,71940.0,705317.2
2010-01-07,9796881.111,978.357,0.0,9796881.111,-289940.0,-2446.505,-293364.862,0.0
2010-01-08,9796881.111,0.0,0.0,9796881.111,0.0,0.0,0.0,0.0
2010-01-11,9110647.571,975.7,9754560.0,9793466.771,0.0,-2438.64,-3414.34,682819.2
2010-01-12,9098594.771,0.0,9741600.0,9780506.771,-12960.0,0.0,-12960.0,681912.0
2010-01-13,9578447.002,954.049,0.0,9578447.002,-198720.0,-2385.72,-202059.769,0.0
2010-01-14,9578447.002,0.0,0.0,9578447.002,0.0,0.0,0.0,0.0
2010-01-15,8905484.769,956.353,-9565920.0,9575099.169,0.0,-2391.48,-3347.833,669614.4
2010-01-18,8842215.669,0.0,-9625050.0,9515969.169,-59130.0,0.0,-59130.0,673753.5
2010-01-19,8872678.569,0.0,-9596580.0,9544439.169,28470.0,0.0,28470.0,671760.6
2010-01-20,8914857.969,0.0,-9557160.0,9583859.169,39420.0,0.0,39420.0,669001.2
2010-01-21,8942977.569,0.0,-9530880.0,9610139.169,26280.0,0.0,26280.0,667161.6
2010-01-22,9092948.769,0.0,-9390720.0,9750299.169,140160.0,0.0,140160.0,657350.4
2010-01-25,9116381.769,0.0,-9368820.0,9772199.169,21900.0,0.0,21900.0,655817.4
2010-01-26,9146844.669,0.0,-9340350.0,9800669.169,28470.0,0.0,28470.0,653824.5
2010-01-27,9685670.719,945.44,0.0,9685670.719,-111690.0,-2363.01,-114998.45,0.0
2010-01-28,9685670.719,0.0,0.0,9685670.719,0.0,0.0,0.0,0.0
2010-01-29,9005034.711,967.258,-9675000.0,9682284.711,0.0,-2418.75,-3386.008,677250.0
2010-02-01,9017072.211,0.0,-9663750.0,9693534.711,11250.0,0.0,11250.0,676462.5
2010-02-02,9344492.211,0.0,-9357750.0,9999534.711,306000.0,0.0,306000.0,655042.5
2010-02-03,9293934.711,0.0,-9405000.0,9952284.711,-47250.0,0.0,-47250.0,658350.0
2010-02-04,9450422.211,0.0,-9258750.0,10098534.711,146250.0,0.0,146250.0,648112.5
2010-02-05,9464867.211,0.0,-9245250.0,10112034.711,13500.0,0.0,13500.0,647167.5
2010-02-08,9416717.211,0.0,-9290250.0,10067034.711,-45000.0,0.0,-45000.0,650317.5
2010-02-09,9349307.211,0.0,-9353250.0,10004034.711,-63000.0,0.0,-63000.0,654727.5
2010-02-10,9250599.711,0.0,-9445500.0,9911784.711,-92250.0,0.0,-92250.0,661185.0
2010-02-11,9175967.211,0.0,-9515250.0,9842034.711,-69750.0,0.0,-69750.0,666067.5
2010-02-12,9694653.732,966.166,0.0,9694653.732,-144000.0,-2414.813,-147380.979,0.0
2010-02-22,9694653.732,0.0,0.0,9694653.732,0.0,0.0,0.0,0.0
2010-02-23,9013695.037,968.2,9679580.0,9691265.637,0.0,-2419.895,-3388.095,677570.6
2010-02-24,8950641.037,0.0,9611780.0,9623465.637,-67800.0,0.0,-67800.0,672824.6
2010-02-25,9520696.555,950.996,0.0,9520696.555,-99440.0,-2378.085,-102769.081,0.0
2010-02-26,9520696.555,0.0,0.0,9520696.555,0.0,0.0,0.0,0.0
2010-03-01,8851503.674,950.996,-9512340.0,9517367.474,0.0,-2378.085,-3329.081,665863.8
2010-03-02,8982086.474,0.0,-9390300.0,9639407.474,122040.0,0.0,122040.0,657321.0
2010-03-03,9011104.874,0.0,-9363180.0,9666527.474,27120.0,0.0,27120.0,655422.6
2010-03-04,9015941.274,0.0,-9358660.0,9671047.474,4520.0,0.0,4520.0,655106.2
2010-03-05,8950649.874,0.0,-9419680.0,9610027.474,-61020.0,0.0,-61020.0,659377.6
2010-03-08,8887346.278,1902.281,9550920.0,9555910.678,-47460.0,-4754.515,-54116.796,668564.4
2010-03-09,8822637.915,2013.493,10570080.0,9562543.515,13680.0,-5033.67,6632.837,739905.6
2010-03-10,8850203.115,0.0,10599720.0,9592183.515,29640.0,0.0,29640.0,741980.4
2010-03-11,8856564.315,0.0,10606560.0,9599023.515,6840.0,0.0,6840.0,742459.2
2010-03-12,8869286.715,0.0,10620240.0,9612703.515,13680.0,0.0,13680.0,743416.8
2010-03-15,8873527.515,0.0,10624800.0,9617263.515,4560.0,0.0,4560.0,743736.0
2010-03-16,9127975.515,0.0,10898400.0,9890863.515,273600.0,0.0,273600.0,762888.0
2010-03-17,9091928.715,0.0,10859640.0,9852103.515,-38760.0,0.0,-38760.0,760174.8
2010-03-18,9028316.715,0.0,10791240.0,9783703.515,-68400.0,0.0,-68400.0,755386.8
2010-03-19,9079206.315,0.0,10845960.0,9838423.515,54720.0,0.0,54720.0,759217.2
2010-03-22,9102530.715,0.0,10871040.0,9863503.515,25080.0,0.0,25080.0,760972.8
2010-03-23,9047400.315,0.0,10811760.0,9804223.515,-59280.0,0.0,-59280.0,756823.2
2010-03-24,9123734.715,0.0,10893840.0,9886303.515,82080.0,0.0,82080.0,762568.8
2010-03-25,9161901.915,0.0,10934880.0,9927343.515,41040.0,0.0,41040.0,765441.6
2010-03-26,9155540.715,0.0,10928040.0,9920503.515,-6840.0,0.0,-6840.0,764962.8
2010-03-29,9191587.515,0.0,10966800.0,9959263.515,38760.0,0.0,38760.0,767676.0
2010-03-30,9843744.508,1085.237,0.0,9843744.508,-111720.0,-2713.77,-115519.007,0.0
2010-03-31,9843744.508,0.0,0.0,9843744.508,0.0,0.0,0.0,0.0
2010-04-01,9151591.013,984.117,9838710.0,9840300.713,0.0,-2459.678,-3443.794,688709.7
2010-04-02,9215119.313,0.0,9907020.0,9908610.713,68310.0,0.0,68310.0,693491.4
2010-04-06,9288273.113,0.0,9985680.0,9987270.713,78660.0,0.0,78660.0,698997.6
2010-04-07,9330625.313,0.0,10031220.0,10032810.713,45540.0,0.0,45540.0,702185.4
2010-04-08,9261321.713,0.0,9956700.0,9958290.713,-74520.0,0.0,-74520.0,696969.0
2010-04-09,9334475.513,0.0,10035360.0,10036950.713,78660.0,0.0,78660.0,702475.2
2010-04-12,9380677.913,0.0,10085040.0,10086630.713,49680.0,0.0,49680.0,705952.8
2010-04-13,9398003.813,0.0,10103670.0,10105260.713,18630.0,0.0,18630.0,707256.9
2010-04-14,9346026.113,0.0,10047780.0,10049370.713,-55890.0,0.0,-55890.0,703344.6
2010-04-15,9278647.613,0.0,9975330.0,9976920.713,-72450.0,0.0,-72450.0,698273.1
2010-04-16,9315224.513,0.0,10014660.0,10016250.713,39330.0,0.0,39330.0,701026.2
2010-04-19,9834788.135,983.418,0.0,9834788.135,-178020.0,-2459.16,-181462.578,0.0
2010-04-20,9834788.135,0.0,0.0,9834788.135,0.0,0.0,0.0,0.0
