date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2010-01-04,9297750.573,9996505.973,9982220.0,0.999651,10000000.0,1.0
2010-01-05,9318024.573,10018305.973,10004020.0,1.001831,10000000.0,1.0
2010-01-06,9384928.773,10090245.973,10075960.0,1.009025,10000000.0,1.002
2010-01-07,9796881.111,9796881.111,0.0,0.979688,10000000.0,1.009
2010-01-08,9796881.111,9796881.111,0.0,0.979688,10000000.0,0.98
2010-01-11,9110647.571,9793466.771,9754560.0,0.979347,10000000.0,0.98
2010-01-12,9098594.771,9780506.771,9741600.0,0.978051,10000000.0,0.979
2010-01-13,9578447.002,9578447.002,0.0,0.957845,10000000.0,0.978
2010-01-14,9578447.002,9578447.002,0.0,0.957845,10000000.0,0.958
2010-01-15,8905484.769,9575099.169,-9565920.0,0.95751,10000000.0,0.958
2010-01-18,8842215.669,9515969.169,-9625050.0,0.951597,10000000.0,0.958
2010-01-19,8872678.569,9544439.169,-9596580.0,0.954444,10000000.0,0.952
2010-01-20,8914857.969,9583859.169,-9557160.0,0.958386,10000000.0,0.954
2010-01-21,8942977.569,9610139.169,-9530880.0,0.961014,10000000.0,0.958
2010-01-22,9092948.769,9750299.169,-9390720.0,0.97503,10000000.0,0.961
2010-01-25,9116381.769,9772199.169,-9368820.0,0.97722,10000000.0,0.975
2010-01-26,9146844.669,9800669.169,-9340350.0,0.980067,10000000.0,0.977
2010-01-27,9685670.719,9685670.719,0.0,0.968567,10000000.0,0.98
2010-01-28,9685670.719,9685670.719,0.0,0.968567,10000000.0,0.969
2010-01-29,9005034.711,9682284.711,-9675000.0,0.968228,10000000.0,0.969
2010-02-01,9017072.211,9693534.711,-9663750.0,0.969353,10000000.0,0.968
2010-02-02,9344492.211,9999534.711,-9357750.0,0.999953,10000000.0,0.969
2010-02-03,9293934.711,9952284.711,-9405000.0,0.995228,10000000.0,1.0
2010-02-04,9450422.211,10098534.711,-9258750.0,1.009853,10000000.0,0.995
2010-02-05,9464867.211,10112034.711,-9245250.0,1.011203,10000000.0,1.01
2010-02-08,9416717.211,10067034.711,-9290250.0,1.006703,10000000.0,1.011
2010-02-09,9349307.211,10004034.711,-9353250.0,1.000403,10000000.0,1.007
2010-02-10,9250599.711,9911784.711,-9445500.0,0.991178,10000000.0,1.0
2010-02-11,9175967.211,9842034.711,-9515250.0,0.984203,10000000.0,0.991
2010-02-12,9694653.732,9694653.732,0.0,0.969465,10000000.0,0.984
2010-02-22,9694653.732,9694653.732,0.0,0.969465,10000000.0,0.969
2010-02-23,9013695.037,9691265.637,9679580.0,0.969127,10000000.0,0.969
2010-02-24,8950641.037,9623465.637,9611780.0,0.962347,10000000.0,0.969
2010-02-25,9520696.555,9520696.555,0.0,0.95207,10000000.0,0.962
2010-02-26,9520696.555,9520696.555,0.0,0.95207,10000000.0,0.952
2010-03-01,8851503.674,9517367.474,-9512340.0,0.951737,10000000.0,0.952
2010-03-02,8982086.474,9639407.474,-9390300.0,0.963941,10000000.0,0.952
2010-03-03,9011104.874,9666527.474,-9363180.0,0.966653,10000000.0,0.964
2010-03-04,9015941.274,9671047.474,-9358660.0,0.967105,10000000.0,0.967
2010-03-05,8950649.874,9610027.474,-9419680.0,0.961003,10000000.0,0.967
2010-03-08,8887346.278,9555910.678,9550920.0,0.955591,10000000.0,0.961
2010-03-09,8822637.915,9562543.515,10570080.0,0.956254,10000000.0,0.956
2010-03-10,8850203.115,9592183.515,10599720.0,0.959218,10000000.0,0.956
2010-03-11,8856564.315,9599023.515,10606560.0,0.959902,10000000.0,0.959
2010-03-12,8869286.715,9612703.515,10620240.0,0.96127,10000000.0,0.96
2010-03-15,8873527.515,9617263.515,10624800.0,0.961726,10000000.0,0.961
2010-03-16,9127975.515,9890863.515,10898400.0,0.989086,10000000.0,0.962
2010-03-17,9091928.715,9852103.515,10859640.0,0.98521,10000000.0,0.989
2010-03-18,9028316.715,9783703.515,10791240.0,0.97837,10000000.0,0.985
2010-03-19,9079206.315,9838423.515,10845960.0,0.983842,10000000.0,0.978
2010-03-22,9102530.715,9863503.515,10871040.0,0.98635,10000000.0,0.984
2010-03-23,9047400.315,9804223.515,10811760.0,0.980422,10000000.0,0.986
2010-03-24,9123734.715,9886303.515,10893840.0,0.98863,10000000.0,0.98
2010-03-25,9161901.915,9927343.515,10934880.0,0.992734,10000000.0,0.989
2010-03-26,9155540.715,9920503.515,10928040.0,0.99205,10000000.0,0.993
2010-03-29,9191587.515,9959263.515,10966800.0,0.995926,10000000.0,0.992
2010-03-30,9843744.508,9843744.508,0.0,0.984374,10000000.0,0.996
2010-03-31,9843744.508,9843744.508,0.0,0.984374,10000000.0,0.984
2010-04-01,9151591.013,9840300.713,9838710.0,0.98403,10000000.0,0.984
2010-04-02,9215119.313,9908610.713,9907020.0,0.990861,10000000.0,0.984
2010-04-06,9288273.113,9987270.713,9985680.0,0.998727,10000000.0,0.991
2010-04-07,9330625.313,10032810.713,10031220.0,1.003281,10000000.0,0.999
2010-04-08,9261321.713,9958290.713,9956700.0,0.995829,10000000.0,1.003
2010-04-09,9334475.513,10036950.713,10035360.0,1.003695,10000000.0,0.996
2010-04-12,9380677.913,10086630.713,10085040.0,1.008663,10000000.0,1.004
2010-04-13,9398003.813,10105260.713,10103670.0,1.010526,10000000.0,1.009
2010-04-14,9346026.113,10049370.713,10047780.0,1.004937,10000000.0,1.011
2010-04-15,9278647.613,9976920.713,9975330.0,0.997692,10000000.0,1.005
2010-04-16,9315224.513,10016250.713,10014660.0,1.001625,10000000.0,0.998
2010-04-19,9834788.135,9834788.135,0.0,0.983479,10000000.0,1.002
2010-04-20,9834788.135,9834788.135,0.0,0.983479,10000000.0,0.983
2010-04-21,9145109.341,9831357.141,-9803540.0,0.983136,10000000.0,0.983
2010-04-22,9200214.341,9882857.141,-9752040.0,0.988286,10000000.0,0.983
2010-04-23,9186989.141,9870497.141,-9764400.0,0.98705,10000000.0,0.988
2010-04-26,9200214.341,9882857.141,-9752040.0,0.988286,10000000.0,0.987
2010-04-27,9323649.541,9998217.141,-9636680.0,0.999822,10000000.0,0.988
2010-04-28,9522027.541,10183617.141,-9451280.0,1.018362,10000000.0,1.0
2010-04-29,9533048.541,10193917.141,-9440980.0,1.019392,10000000.0,1.018
2010-04-30,10083455.068,10083455.068,0.0,1.008346,10000000.0,1.019
2010-05-04,10083455.068,10083455.068,0.0,1.008346,10000000.0,1.008
2010-05-05,9376404.051,10079937.651,-10050480.0,1.007994,10000000.0,1.008
2010-05-06,9413383.251,10114497.651,-10015920.0,1.01145,10000000.0,1.008
2010-05-07,9626013.651,10313217.651,-9817200.0,1.031322,10000000.0,1.011
2010-05-10,9651436.851,10336977.651,-9793440.0,1.033698,10000000.0,1.031
2010-05-11,9778552.851,10455777.651,-9674640.0,1.045578,10000000.0,1.034
2010-05-12,9947270.451,10613457.651,-9516960.0,1.061346,10000000.0,1.046
2010-05-13,9961137.651,10626417.651,-9504000.0,1.062642,10000000.0,1.061
2010-05-14,10037407.251,10697697.651,-9432720.0,1.06977,10000000.0,1.063
2010-05-17,10455734.451,11088657.651,-9041760.0,1.108866,10000000.0,1.07
2010-05-18,10402576.851,11038977.651,-9091440.0,1.103898,10000000.0,1.109
2010-05-19,10370220.051,11008737.651,-9121680.0,1.100874,10000000.0,1.104
2010-05-20,10305506.451,10948257.651,-9182160.0,1.094826,10000000.0,1.101
2010-05-21,10358664.051,10997937.651,-9132480.0,1.099794,10000000.0,1.095
2010-05-24,10800273.01,10800273.01,0.0,1.080027,10000000.0,1.1
2010-05-25,10800273.01,10800273.01,0.0,1.080027,10000000.0,1.08
2010-05-26,10042924.575,10796505.375,-10765440.0,1.079651,10000000.0,1.08
2010-05-27,10048317.375,10801545.375,-10760400.0,1.080155,10000000.0,1.08
2010-05-28,10086066.975,10836825.375,-10725120.0,1.083683,10000000.0,1.08
2010-05-31,10196619.375,10940145.375,-10621800.0,1.094015,10000000.0,1.084
2010-06-01,10296386.175,11033385.375,-10528560.0,1.103339,10000000.0,1.094
2010-06-02,10277511.375,11015745.375,-10546200.0,1.101575,10000000.0,1.103
2010-06-03,10237065.375,10977945.375,-10584000.0,1.097795,10000000.0,1.102
2010-06-04,10290993.375,11028345.375,-10533600.0,1.102835,10000000.0,1.098
2010-06-07,10719720.975,11429025.375,-10132920.0,1.142903,10000000.0,1.103
2010-06-08,10611864.975,11328225.375,-10233720.0,1.132823,10000000.0,1.143
2010-06-09,11218766.271,11218766.271,0.0,1.121877,10000000.0,1.133
2010-06-10,11218766.271,11218766.271,0.0,1.121877,10000000.0,1.122
2010-06-11,10432118.478,11214852.878,-11181920.0,1.121485,10000000.0,1.122
2010-06-17,10429208.078,11212132.878,-11184640.0,1.121213,10000000.0,1.121
2010-06-18,10499057.678,11277412.878,-11119360.0,1.127741,10000000.0,1.121
2010-06-21,11069449.419,11069449.419,0.0,1.106945,10000000.0,1.128
2010-06-22,11069449.419,11069449.419,0.0,1.106945,10000000.0,1.107
2010-06-23,10291603.815,11065579.815,-11056800.0,1.106558,10000000.0,1.107
2010-06-24,10230710.115,11008669.815,-11113710.0,1.100867,10000000.0,1.107
2010-06-25,10280005.015,11054739.815,-11067640.0,1.105474,10000000.0,1.101
2010-06-28,10410491.515,11176689.815,-10945690.0,1.117669,10000000.0,1.105
2010-06-29,10540978.015,11298639.815,-10823740.0,1.129864,10000000.0,1.118
2010-06-30,10567075.315,11323029.815,-10799350.0,1.132303,10000000.0,1.13
2010-07-01,10639567.815,11390779.815,-10731600.0,1.139078,10000000.0,1.132
2010-07-02,10596072.315,11350129.815,-10772250.0,1.135013,10000000.0,1.139
2010-07-05,10555476.515,11312189.815,-10810190.0,1.131219,10000000.0,1.135
2010-07-06,10627969.015,11379939.815,-10742440.0,1.137994,10000000.0,1.131
2010-07-07,10625069.315,11377229.815,-10745150.0,1.137723,10000000.0,1.138
2010-07-08,10712060.315,11458529.815,-10663850.0,1.145853,10000000.0,1.138
2010-07-09,10668564.815,11417879.815,-10704500.0,1.141788,10000000.0,1.146
2010-07-12,10688862.715,11436849.815,-10685530.0,1.143685,10000000.0,1.142
2010-07-13,10764254.915,11507309.815,-10615070.0,1.150731,10000000.0,1.144
2010-07-14,10796151.615,11537119.815,-10585260.0,1.153712,10000000.0,1.151
2010-07-15,10787452.515,11528989.815,-10593390.0,1.152899,10000000.0,1.154
2010-07-16,10767154.615,11510019.815,-10612360.0,1.151002,10000000.0,1.153
2010-07-19,11370757.796,11370757.796,0.0,1.137076,10000000.0,1.151
2010-07-20,11370757.796,11370757.796,0.0,1.137076,10000000.0,1.137
2010-07-21,10571480.208,11366781.008,11361440.0,1.136678,10000000.0,1.137
2010-07-22,10561361.808,11355901.008,11350560.0,1.13559,10000000.0,1.137
2010-07-23,10687841.808,11491901.008,11486560.0,1.14919,10000000.0,1.136
2010-07-26,10667605.008,11470141.008,11464800.0,1.147014,10000000.0,1.149
2010-07-27,11302985.73,11302985.73,0.0,1.130299,10000000.0,1.147
2010-07-28,11302985.73,11302985.73,0.0,1.130299,10000000.0,1.13
2010-07-29,10508109.24,11299030.84,11298880.0,1.129903,10000000.0,1.13
2010-07-30,10680084.84,11483950.84,11483800.0,1.148395,10000000.0,1.13
2010-08-02,10784765.64,11596510.84,11596360.0,1.159651,10000000.0,1.148
2010-08-03,10712486.04,11518790.84,11518640.0,1.151879,10000000.0,1.16
2010-08-04,10777288.44,11588470.84,11588320.0,1.158847,10000000.0,1.152
2010-08-05,10722455.64,11529510.84,11529360.0,1.152951,10000000.0,1.159
2010-08-06,10759841.64,11569710.84,11569560.0,1.156971,10000000.0,1.153
2010-08-09,10914370.44,11735870.84,11735720.0,1.173587,10000000.0,1.157
2010-08-10,10859537.64,11676910.84,11676760.0,1.167691,10000000.0,1.174
2010-08-11,10869507.24,11687630.84,11687480.0,1.168763,10000000.0,1.168
2010-08-12,11522796.79,11522796.79,0.0,1.15228,10000000.0,1.169
2010-08-13,11522796.79,11522796.79,0.0,1.15228,10000000.0,1.152
2010-08-16,10712854.138,11518766.938,11513040.0,1.151877,10000000.0,1.152
2010-08-17,10727585.338,11534606.938,11528880.0,1.153461,10000000.0,1.152
2010-08-18,10712854.138,11518766.938,11513040.0,1.151877,10000000.0,1.153
2010-08-19,10722674.938,11529326.938,11523600.0,1.152933,10000000.0,1.152
2010-08-20,11382783.859,11382783.859,0.0,1.138278,10000000.0,1.153
2010-08-23,11382783.859,11382783.859,0.0,1.138278,10000000.0,1.138
2010-08-24,10583760.099,11378808.899,-11357840.0,1.137881,10000000.0,1.138
2010-08-25,10621038.899,11413648.899,-11323000.0,1.141365,10000000.0,1.138
2010-08-26,10529275.699,11327888.899,-11408760.0,1.132789,10000000.0,1.141
2010-08-27,10497732.099,11298408.899,-11438240.0,1.129841,10000000.0,1.133
2010-08-30,11120144.254,11120144.254,0.0,1.112014,10000000.0,1.13
2010-08-31,11120144.254,11120144.254,0.0,1.112014,10000000.0,1.112
2010-09-01,10339427.817,11116259.817,11097600.0,1.111626,10000000.0,1.112
2010-09-02,10420058.817,11202959.817,11184300.0,1.120296,10000000.0,1.112
2010-09-03,10370257.317,11149409.817,11130750.0,1.114941,10000000.0,1.12
2010-09-06,10889615.817,11707859.817,11689200.0,1.170786,10000000.0,1.115
2010-09-07,10851671.817,11667059.817,11648400.0,1.166706,10000000.0,1.171
2010-09-08,10780526.817,11590559.817,11571900.0,1.159056,10000000.0,1.167
2010-09-09,11334148.292,11334148.292,0.0,1.133415,10000000.0,1.159
2010-09-10,11334148.292,11334148.292,0.0,1.133415,10000000.0,1.133
2010-09-13,10539747.368,11330195.768,11292120.0,1.13302,10000000.0,1.133
2010-09-14,11167539.37,11167539.37,0.0,1.116754,10000000.0,1.133
2010-09-15,11167539.37,11167539.37,0.0,1.116754,10000000.0,1.117
2010-09-16,10384311.994,11163642.994,-11133300.0,1.116364,10000000.0,1.117
2010-09-17,10403411.494,11181492.994,-11115450.0,1.118149,10000000.0,1.116
2010-09-20,10351569.994,11133042.994,-11163900.0,1.113304,10000000.0,1.118
2010-09-21,10518008.494,11288592.994,-11008350.0,1.128859,10000000.0,1.113
2010-09-27,10678989.994,11439042.994,-10857900.0,1.143904,10000000.0,1.129
2010-09-28,10698089.494,11456892.994,-10840050.0,1.145689,10000000.0,1.144
2010-09-29,10728102.994,11484942.994,-10812000.0,1.148494,10000000.0,1.146
2010-09-30,10665347.494,11426292.994,-10870650.0,1.142629,10000000.0,1.148
2010-10-08,10621691.494,11385492.994,-10911450.0,1.138549,10000000.0,1.143
2010-10-11,11223518.374,11223518.374,0.0,1.122352,10000000.0,1.139
2010-10-12,11223518.374,11223518.374,0.0,1.122352,10000000.0,1.122
2010-10-13,10435657.748,11219598.948,-11199160.0,1.12196,10000000.0,1.122
2010-10-14,10499907.567,11289121.167,11274480.0,1.128912,10000000.0,1.122
2010-10-15,10556153.967,11349601.167,11334960.0,1.13496,10000000.0,1.129
2010-10-18,10607713.167,11405041.167,11390400.0,1.140504,10000000.0,1.135
2010-10-19,10532717.967,11324401.167,11309760.0,1.13244,10000000.0,1.141
2010-10-20,11151662.124,11151662.124,0.0,1.115166,10000000.0,1.132
